id,title,genres,vote_average,Plot
615656,Meg 2: The Trench,Action-Science Fiction-Horror,7.079,an exploratori dive into the deepest depth of the ocean of a dare research team spiral into chao when a malevol mine oper threaten their mission and forc them into a high-stak battl for surviv . base on novel or book-sequel-kaiju action-sci fiction-horror meg 2 : the trench
758323,The Pope's Exorcist,Horror-Mystery-Thriller,7.433,father gabriel amorth chief exorcist of the vatican investig a young boy 's terrifi possess and end up uncov a centuries-old conspiraci the vatican ha desper tri to keep hidden . spain-rom italy-vatican-pope-pig-possession-conspiracy-devil-exorcist-skepticism-cathol priest-1980s-supernatur horror horror-mystery-thril the pope 's exorcist
533535,Deadpool & Wolverine,Action-Comedy-Science Fiction,7.765,a listless wade wilson toil away in civilian life with hi day as the moral flexibl mercenari deadpool behind him . but when hi homeworld face an existenti threat wade must reluctantli suit-up again with an even more reluct wolverin . hero-superhero-anti hero-mutant-break the fourth wall-marvel cinemat univers ( mcu ) -mutants-superhero teamup action-comedy-sci fiction deadpool & wolverin
667538,Transformers: Rise of the Beasts,Action-Adventure-Science Fiction,7.34,when a new threat capabl of destroy the entir planet emerg optimu prime and the autobot must team up with a power faction known as the maxim . with the fate of human hang in the balanc human noah and elena will do whatev it take to help the transform as they engag in the ultim battl to save earth . peru-alien-end of the world-bas on cartoon-bas on toy-robot-duringcreditsstinger-1990s-broth brother relationship action-adventure-sci fiction transform : rise of the beast
693134,Dune: Part Two,Science Fiction-Adventure,8.3,follow the mythic journey of paul atreid as he unit with chani and the fremen while on a path of reveng against the conspir who destroy hi famili . face a choic between the love of hi life and the fate of the known univers paul endeavor to prevent a terribl futur onli he can forese . epic-bas on novel or book-fight-sandstorm-sand-spice-chosen one-sequel-dist future-creature-planet-desert-destiny-gi worm-spac opera-sand dune-messiah-vengeance-gi creature-power-violence-dun part two scienc fiction-adventur dune : part two
912649,Venom: The Last Dance,Science Fiction-Action-Adventure,6.522,eddi and venom are on the run . hunt by both of their world and with the net close in the duo are forc into a devast decis that will bring the curtain down on venom and eddi 's last danc . hero-superhero-anti hero-villain-alien life-form-bas on comic-sequel-aftercreditsstinger-woman director-direct-farcical-straightforward scienc fiction-action-adventur venom : the last danc
640146,Ant-Man and the Wasp: Quantumania,Action-Adventure-Science Fiction,6.507,super-hero partner scott lang and hope van dyne along with with hope 's parent janet van dyne and hank pym and scott 's daughter cassi lang find themselv explor the quantum realm interact with strang new creatur and embark on an adventur that will push them beyond the limit of what they thought possibl . hero-ant-sequel-superhero-bas on comic-family-superhero team-aftercreditsstinger-duringcreditsstinger-marvel cinemat univers ( mcu ) action-adventure-sci fiction ant-man and the wasp : quantumania
677179,Creed III,Drama-Action,7.262,after domin the box world adoni creed ha been thrive in both hi career and famili life . when a childhood friend and former box prodigi damien anderson resurfac after serv a long sentenc in prison he is eager to prove that he deserv hi shot in the ring . the face-off between former friend is more than just a fight . to settl the score adoni must put hi futur on the line to battl damien — a fighter who ha noth to lose . philadelphia pennsylvania-husband wife relationship-deaf-sports-sequel-orphan-form best friend-ex-con-childhood friends-juvenil detent center-boxing-prodigi drama-act creed iii
614479,Insidious: The Red Door,Horror-Mystery-Thriller,6.75,to put their demon to rest onc and for all josh lambert and a college-ag dalton lambert must go deeper into the further than ever befor face their famili 's dark past and a host of new and more horrifi terror that lurk behind the red door . sequel-demon-franchise-insidious-supernatur horror-evil spirits-directori debut-fifth part horror-mystery-thril insidi : the red door
519182,Despicable Me 4,Animation-Family-Comedy-Action,7.35,gru and luci and their girls—margo edith and agnes—welcom a new member to the gru famili gru jr. who is intent on torment hi dad . gru also face a new nemesi in maxim le mal and hi femm fatal girlfriend valentina forc the famili to go on the run . superhero-villain-sequel-sup villain-illumination-kids-disapprov animation-family-comedy-act despic me 4
